127.0.0.1 - - [13/Aug/2012:09:49:52 +0000] "GET /ch/32189/FixedFlumeReportingVoideo HTTP/1.0" 302 - "-" "Mozilla/5.0 (BlackBerry; U; BlackBerry 9800; en) AppleWebKit/534.1+ (KHTML, Like Gecko) Version/6.0.0.141 Mobile Safari/534.1"
127.0.0.1 - - [13/Aug/2012:09:49:52 +0000] "GET /ch/32189/FixedFlumeReportingVoideo HTTP/1.0" 302 - "-" "BlackBerry9530/4.7.0.167 Profile/MIDP-2.0 Configuration/CLDC-1.1 VendorID/102 UP.Link/6.3.1.20.0"
127.0.0.1 - - [13/Aug/2012:09:49:52 +0000] "GET /sites/default/files/video/32189/videoclip_qvga_mpeg4_aac_3gp/Simple_mpg.3gp HTTP/1.0" 200 787964 "-" "Mozilla/5.0 (SymbianOS/9.2; U; Series60/3.1 NokiaN95/21.0.016; Profile/MIDP-2.0 Configuration/CLD(-1.1) AppleWebKit/413 (KHTML"
127.0.0.1 - - [13/Aug/2012:09:49:58 +0000] "GET /ch/32189/FixedFlumeReportingVoideo HTTP/1.0" 302 - "-" "Mozilla/5.0 (SymbianOS/9.2; U; Series60/3.1 NokiaN95/21.0.016; Profile/MIDP-2.0 Configuration/CLD(-1.1) AppleWebKit/413 (KHTML"
127.0.0.1 - - [13/Aug/2012:09:49:52 +0000] "GET /sites/default/files/video/32189/video_h264_aac_mp4_480x320_hint/Simple_mpg.mp4 HTTP/1.0" 200 2930883 "-" "Mozilla/5.0 (BlackBerry; U; BlackBerry 9800; en) AppleWebKit/534.1+ (KHTML, Like Gecko) Version/6.0.0.141 Mobile Safari/534.1"
127.0.0.1 - - [13/Aug/2012:09:49:58 +0000] "GET /ch/32189/FixedFlumeReportingVoideo HTTP/1.0" 302 - "-" "SAMSUNG-SGH-A867/A867UCHJ3 SHP/VPP/R5 NetFront/35 SMM-MMS/1.2.0 profile/MIDP-2.0 configuration/CLDC-1.1 UP.Link/6.3.0.0.0"
127.0.0.1 - - [13/Aug/2012:09:49:58 +0000] "GET /sites/default/files/video/32189/videoclip_qvga_mpeg4_aac_3gp/Simple_mpg.3gp HTTP/1.0" 200 787964 "-" "Mozilla/5.0 (SymbianOS/9.2; U; Series60/3.1 NokiaN95/21.0.016; Profile/MIDP-2.0 Configuration/CLD(-1.1) AppleWebKit/413 (KHTML"
127.0.0.1 - - [13/Aug/2012:09:49:58 +0000] "GET /sites/default/files/video/32189/videoclip_qcif_mpeg_hint_amrnb_3gp/Simple_mpg.3gp HTTP/1.0" 200 847709 "-" "SAMSUNG-SGH-A867/A867UCHJ3 SHP/VPP/R5 NetFront/35 SMM-MMS/1.2.0 profile/MIDP-2.0 configuration/CLDC-1.1 UP.Link/6.3.0.0.0"
127.0.0.1 - - [13/Aug/2012:09:49:38 +0000] "GET /sites/default/files/video/32189/video_profile_h264_aac_hinted/Simple_mpg.mp4 HTTP/1.0" 200 4871032 "-" "BlackBerry9530/4.7.0.167 Profile/MIDP-2.0 Configuration/CLDC-1.1 VendorID/102 UP.Link/6.3.1.20.0"
127.0.0.1 - - [13/Aug/2012:09:50:00 +0000] "GET /ch/32189/FixedFlumeReportingVoideo HTTP/1.0" 302 - "-" "Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_2_1 like Mac OS X; da-dk) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8C148 Safari/6533.18.5"
127.0.0.1 - - [13/Aug/2012:09:50:00 +0000] "GET /sites/default/files/video/32189/iphone_m3u8_profile/Simple_mpg.m3u8 HTTP/1.0" 200 458 "-" "Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_2_1 like Mac OS X; da-dk) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8C148 Safari/6533.18.5"
127.0.0.1 - - [13/Aug/2012:09:49:49 +0000] "GET /sites/default/files/video/32189/video_profile_h264_aac_hinted/Simple_mpg.mp4 HTTP/1.0" 200 4871032 "-" "BlackBerry9530/4.7.0.167 Profile/MIDP-2.0 Configuration/CLDC-1.1 VendorID/102 UP.Link/6.3.1.20.0"
127.0.0.1 - - [13/Aug/2012:09:50:00 +0000] "GET /ch/32189/FixedFlumeReportingVoideo HTTP/1.0" 200 402 "-" "Mozilla/4.0 (compatible; MSIE 7.0; Windows Phone OS 7.0; Trident/3.1; IEMobile/7.0; HTC; 7 Mozart)"
127.0.0.1 - - [13/Aug/2012:09:50:01 +0000] "GET /ch/32189/FixedFlumeReportingVoideo HTTP/1.0" 302 - "-" "Mozilla/5.0 (iPhone; U; CPU iPhone OS 3_0 like Mac OS X; en-us) AppleWebKit/528.18 (KHTML, like Gecko) Version/4.0 Mobile/7A341 Safari/528.16"
127.0.0.1 - - [13/Aug/2012:09:50:01 +0000] "GET /ch/32189/FixedFlumeReportingVoideo HTTP/1.0" 302 - "-" "BlackBerry9530/4.7.0.167 Profile/MIDP-2.0 Configuration/CLDC-1.1 VendorID/102 UP.Link/6.3.1.20.0"
127.0.0.1 - - [13/Aug/2012:09:50:01 +0000] "GET /ch/32189/FixedFlumeReportingVoideo HTTP/1.0" 302 - "-" "Mozilla/5.0 (BlackBerry; U; BlackBerry 9800; en) AppleWebKit/534.1+ (KHTML, Like Gecko) Version/6.0.0.141 Mobile Safari/534.1"
127.0.0.1 - - [13/Aug/2012:09:50:02 +0000] "GET /sites/default/files/video/32189/iphone_m3u8_profile/Simple_mpg.m3u8 HTTP/1.0" 200 458 "-" "Mozilla/5.0 (iPhone; U; CPU iPhone OS 3_0 like Mac OS X; en-us) AppleWebKit/528.18 (KHTML, like Gecko) Version/4.0 Mobile/7A341 Safari/528.16"
